,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
8,s8,1,0.0,27.686901,[25 88] ; [12  1],[33.18253968 79.81746032] ; [3.81746032 9.18253968],1
11,p5,1,1e-06,23.601028,[  4 109] ; [5 7],[  8.136 104.864] ; [ 0.864 11.136],1
12,p12,1,4e-06,21.412892,[  2 110] ; [4 9],[  5.376 106.624] ; [ 0.624 12.376],1
0,b2,1,5.9e-05,16.132594,[25 51] ; [12  1],[31.59550562 44.40449438] ; [5.40449438 7.59550562],1
1,b3,1,5.9e-05,16.132594,[25 51] ; [12  1],[31.59550562 44.40449438] ; [5.40449438 7.59550562],1
9,p3,1,0.000117,14.841896,[28 84] ; [10  3],[34.048 77.952] ; [3.952 9.048],1
4,v3,1,0.000169,14.147568,[30 78] ; [8 1],[35.07692308 72.92307692] ; [2.92307692 6.07692308],1
5,s2,1,0.000178,14.052722,[35 76] ; [11  2],[41.17741935 69.82258065] ; [4.82258065 8.17741935],1
7,s7,1,0.000199,13.842496,[35 75] ; [11  2],[41.13821138 68.86178862] ; [4.86178862 8.13821138],1
2,a2,1,0.000318,12.963921,[20 93] ; [8 5],[25.11111111 87.88888889] ; [ 2.88888889 10.11111111],1
6,s6,1,0.000825,11.183129,[49 64] ; [12  1],[54.70634921 58.29365079] ; [6.29365079 6.70634921],1
10,p4,1,0.000887,11.050369,[41 71] ; [11  2],[46.592 65.408] ; [5.408 7.592],1
3,v1,1,0.000954,10.915362,[40 70] ; [9 1],[44.91666667 65.08333333] ; [4.08333333 5.91666667],1
