,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
24,p10,1,0.0,93.56162,[122 118] ; [508 103],[177.6733255  62.3266745] ; [452.3266745 158.6733255],1
23,p9,1,0.0,80.475027,[140  98] ; [531  81],[187.88  50.12] ; [483.12 128.88],1
7,r3,1,0.0,58.830468,[196  50] ; [593  25],[224.64583333  21.35416667] ; [564.35416667  53.64583333],1
8,r4,1,0.0,54.828315,[179  70] ; [567  54],[213.51034483  35.48965517] ; [532.48965517  88.51034483],1
17,p2,1,0.0,47.313806,[152  95] ; [514 103],[190.39583333  56.60416667] ; [475.60416667 141.39583333],1
11,n6,1,0.0,44.556898,[160  85] ; [527  89],[195.48780488  49.51219512] ; [491.51219512 124.48780488],1
16,s8,1,0.0,36.963361,[ 79 168] ; [339 279],[119.35953757 127.64046243] ; [298.64046243 319.35953757],1
22,p8,1,0.0,36.110306,[ 74 170] ; [323 286],[113.56154748 130.43845252] ; [283.43845252 325.56154748],1
4,v4,1,0.0,35.978844,[207  40] ; [592  26],[228.15375723  18.84624277] ; [570.84624277  47.15375723],1
19,p4,1,0.0,32.240808,[105 140] ; [395 222],[142.11136891 102.88863109] ; [357.88863109 259.11136891],1
13,s3,1,0.0,31.846537,[121 125] ; [425 185],[156.91121495  89.08878505] ; [389.08878505 220.91121495],1
21,p7,1,0.0,30.3054,[109 133] ; [393 206],[144.45184304  97.54815696] ; [357.54815696 241.45184304],1
12,s2,1,0.0,29.82859,[112 136] ; [403 214],[147.65317919 100.34682081] ; [367.34682081 249.65317919],1
15,s7,1,1e-06,24.645114,[ 93 134] ; [359 237],[124.67071689 102.32928311] ; [327.32928311 268.67071689],1
10,n5,1,1e-06,24.202397,[149  97] ; [476 141],[178.1575898  67.8424102] ; [446.8424102 170.1575898],1
9,n4,1,3e-06,21.637751,[153  93] ; [481 138],[180.30520231  65.69479769] ; [453.69479769 165.30520231],1
18,p3,1,1.9e-05,18.252626,[ 89 157] ; [323 295],[117.30555556 128.69444444] ; [294.69444444 323.30555556],1
5,r1,1,2.4e-05,17.860877,[170  76] ; [508 110],[193.04166667  52.95833333] ; [484.95833333 133.04166667],1
2,v1,1,5.3e-05,16.340352,[102 145] ; [341 262],[128.73058824 118.26941176] ; [314.26941176 288.73058824],1
0,b1,1,7.5e-05,15.685228,[132 117] ; [238 383],[105.89655172 143.10344828] ; [264.10344828 356.89655172],1
14,s5,1,0.000137,14.541326,[ 68 167] ; [260 341],[ 92.20095694 142.79904306] ; [235.79904306 365.20095694],1
25,p12,1,0.00018,14.030671,[  6 240] ; [ 62 555],[ 19.38354577 226.61645423] ; [ 48.61645423 568.38354577],1
3,v2,1,0.000215,13.690939,[103 136] ; [340 254],[127.1032413 111.8967587] ; [315.8967587 278.1032413],1
1,a5,1,0.000484,12.176505,[156  93] ; [462 158],[177.07940161  71.92059839] ; [440.92059839 179.07940161],1
20,p6,1,0.000582,11.831412,[ 66 176] ; [243 367],[ 87.76760563 154.23239437] ; [221.23239437 388.76760563],1
6,r2,1,0.000914,10.993878,[215  29] ; [580  33],[226.34772462  17.65227538] ; [568.65227538  44.34772462],1
