,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,1.8e-05,18.362923,[60 48] ; [ 88 188],[41.625 66.375] ; [106.375 169.625],1
2,p8,1,2.4e-05,17.825156,[50 56] ; [ 70 211],[32.86821705 73.13178295] ; [ 87.13178295 193.86821705],1
0,p2,1,0.000135,14.576874,[91 18] ; [180 103],[75.35459184 33.64540816] ; [195.64540816  87.35459184],1
