,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
7,s8,1,0.0,35.315024,[20 96] ; [12  1],[28.7751938 87.2248062] ; [3.2248062 9.7751938],1
10,p12,1,0.0,28.558195,[  1 117] ; [4 9],[  4.50381679 113.49618321] ; [ 0.49618321 12.50381679],1
8,p5,1,1.6e-05,18.628704,[  6 111] ; [5 7],[  9.97674419 107.02325581] ; [ 1.02325581 10.97674419],1
6,s7,1,9.1e-05,15.314041,[32 76] ; [11  2],[38.38016529 69.61983471] ; [4.61983471 8.38016529],1
4,v3,1,0.000108,14.983341,[29 80] ; [8 1],[34.1779661 74.8220339] ; [2.8220339 6.1779661],1
0,b2,1,0.000116,14.855171,[25 47] ; [12  1],[31.34117647 40.65882353] ; [5.65882353 7.34117647],1
1,b3,1,0.000116,14.855171,[25 47] ; [12  1],[31.34117647 40.65882353] ; [5.65882353 7.34117647],1
5,s2,1,0.000173,14.10682,[37 80] ; [11  2],[43.2 73.8] ; [4.8 8.2],1
3,v1,1,0.000389,12.58278,[39 78] ; [9 1],[44.22047244 72.77952756] ; [3.77952756 6.22047244],1
9,p8,1,0.000908,11.005634,[29 87] ; [9 4],[34.17054264 81.82945736] ; [3.82945736 9.17054264],1
2,d1,1,0.000959,10.905726,[52 66] ; [12  1],[57.64885496 60.35114504] ; [6.35114504 6.64885496],1
