,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,s8,1,7e-06,20.247934,[12 54] ; [8 1],[17.6 48.4] ; [2.4 6.6],1
2,p12,1,5.2e-05,16.384216,[ 1 67] ; [3 6],[ 3.53246753 64.46753247] ; [0.46753247 8.53246753],1
0,s2,1,0.000566,11.88494,[20 47] ; [8 1],[24.68421053 42.31578947] ; [3.31578947 5.68421053],1
