,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,106.468238,[43 67] ; [242  28],[82.5 27.5] ; [202.5  67.5],1
9,p3,1,0.0,34.470167,[28 84] ; [156 113],[54.08923885 57.91076115] ; [129.91076115 139.08923885],1
12,p7,1,0.0,29.846034,[45 66] ; [187  78],[68.4893617 42.5106383] ; [163.5106383 101.4893617],1
2,n5,1,0.0,27.623592,[61 50] ; [219  51],[81.57480315 29.42519685] ; [198.42519685  71.57480315],1
10,p4,1,1e-06,25.208924,[41 71] ; [175  96],[63.16449086 48.83550914] ; [152.83550914 118.16449086],1
7,s8,1,1e-06,24.82232,[25 88] ; [134 136],[46.91122715 66.08877285] ; [112.08877285 157.91122715],1
15,p11,1,1.3e-05,19.068546,[63 50] ; [211  60],[80.63020833 32.36979167] ; [193.36979167  77.63020833],1
13,p8,1,1.7e-05,18.466265,[35 76] ; [150 119],[54.03947368 56.96052632] ; [130.96052632 138.03947368],1
5,s6,1,2.7e-05,17.629838,[49 64] ; [175  88],[67.31914894 45.68085106] ; [156.68085106 106.31914894],1
3,s2,1,4.1e-05,16.823706,[35 76] ; [147 122],[53.16315789 57.83684211] ; [128.83684211 140.16315789],1
1,n4,1,4.4e-05,16.701542,[66 45] ; [216  55],[81.94240838 29.05759162] ; [200.05759162  70.94240838],1
6,s7,1,9.1e-05,15.318815,[35 75] ; [139 118],[52.15258856 57.84741144] ; [121.84741144 135.15258856],1
8,p2,1,9.3e-05,15.274904,[74 39] ; [224  44],[88.3832021 24.6167979] ; [209.6167979  58.3832021],1
11,p6,1,0.000178,14.045678,[23 87] ; [110 157],[38.80636605 71.19363395] ; [ 94.19363395 172.80636605],1
0,a5,1,0.00021,13.739949,[66 47] ; [209  62],[80.92447917 32.07552083] ; [194.07552083  76.92447917],1
4,s5,1,0.000878,11.068291,[21 89] ; [ 96 166],[34.59677419 75.40322581] ; [ 82.40322581 179.59677419],1
