,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,30.44771,[105  46] ; [13 38],[88.20792079 62.79207921] ; [29.79207921 21.20792079],1
1,p6,1,1.5e-05,18.675984,[93 59] ; [13 37],[79.76237624 72.23762376] ; [26.23762376 23.76237624],1
3,p11,1,0.000324,12.923654,[123  30] ; [28 23],[113.25  39.75] ; [37.75 13.25],1
0,p2,1,0.000617,11.724138,[138  15] ; [36 15],[130.5  22.5] ; [43.5  7.5],1
