,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,97.52725,[424  46] ; [64 59],[386.77908938  83.22091062] ; [101.22091062  21.77908938],1
12,p10,1,0.0,87.11177,[407  63] ; [60 65],[368.8907563 101.1092437] ; [98.1092437 26.8907563],1
5,r3,1,0.0,73.148888,[461  14] ; [95 33],[437.97678275  37.02321725] ; [118.02321725   9.97678275],1
7,n6,1,0.0,52.657883,[420  51] ; [79 48],[393.02508361  77.97491639] ; [105.97491639  21.02508361],1
6,r4,1,0.0,49.508528,[433  45] ; [85 44],[407.91433278  70.08566722] ; [110.08566722  18.91433278],1
8,p2,1,0.0,49.007687,[412  61] ; [76 51],[384.70666667  88.29333333] ; [103.29333333  23.70666667],1
10,p8,1,0.0,40.10815,[252 215] ; [28 98],[220.50590219 246.49409781] ; [59.49409781 66.50590219],1
3,v4,1,0.0,32.917771,[454  19] ; [104  24],[439.15806988  33.84193012] ; [118.84193012   9.15806988],1
2,v2,1,1.2e-05,19.185294,[272 190] ; [47 80],[250.21731749 211.78268251] ; [68.78268251 58.21731749],1
4,r2,1,1.7e-05,18.531691,[447  24] ; [107  21],[435.61602671  35.38397329] ; [118.38397329   9.61602671],1
1,a6,1,4.8e-05,16.506417,[333 143] ; [65 63],[313.65562914 162.34437086] ; [84.34437086 43.65562914],1
9,p7,1,0.000337,12.853787,[289 170] ; [57 69],[271.47692308 187.52307692] ; [74.52307692 51.47692308],1
0,a1,1,0.000474,12.214129,[ 14 464] ; [ 13 116],[ 21.26194399 456.73805601] ; [  5.73805601 123.26194399],1
