,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,1e-06,24.248679,[294  30] ; [62 26],[279.96116505  44.03883495] ; [76.03883495 11.96116505],1
1,p6,1,7e-06,20.297845,[163 160] ; [19 64],[144.79310345 178.20689655] ; [37.20689655 45.79310345],1
2,p8,1,3.3e-05,17.220805,[220 104] ; [38 49],[203.38686131 120.61313869] ; [54.61313869 32.38686131],1
