,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p12,1,0.0,54.830543,[ 12 235] ; [20 29],[ 26.7027027 220.2972973] ; [ 5.2972973 43.7027027],1
0,p1,1,0.0,33.912478,[ 17 230] ; [18 32],[ 29.10774411 217.89225589] ; [ 5.89225589 44.10774411],1
2,p6,1,7e-06,20.103934,[ 95 151] ; [36 13],[109.24067797 136.75932203] ; [21.75932203 27.24067797],1
1,p3,1,0.000299,13.078351,[139 109] ; [41  8],[150.3030303  97.6969697] ; [29.6969697 19.3030303],1
