,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,42.076604,[ 72 191] ; [73 44],[100.35526316 162.64473684] ; [44.64473684 72.35526316],1
0,p2,1,0.0,37.980997,[158 111] ; [109  12],[184.16153846  84.83846154] ; [82.83846154 38.16153846],1
1,p4,1,2.4e-05,17.825156,[ 56 211] ; [50 70],[ 73.13178295 193.86821705] ; [32.86821705 87.13178295],1
3,p10,1,6.2e-05,16.051924,[163 101] ; [98 21],[179.90600522  84.09399478] ; [81.09399478 37.90600522],1
