,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,0.0,29.237821,[ 17 113] ; [48 60],[35.50420168 94.49579832] ; [29.49579832 78.50420168],1
0,p2,1,7e-06,20.122285,[65 68] ; [84 25],[81.88842975 51.11157025] ; [67.11157025 41.88842975],1
1,p3,1,2.4e-05,17.832268,[33 99] ; [56 53],[48.74688797 83.25311203] ; [40.25311203 68.74688797],1
3,p8,1,0.000146,14.423564,[ 27 106] ; [46 61],[40.45416667 92.54583333] ; [32.54583333 74.45416667],1
