,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,1e-05,19.504595,[ 13 101] ; [6 3],[17.6097561 96.3902439] ; [1.3902439 7.6097561],1
0,p7,1,0.00047,12.23099,[19 91] ; [6 3],[23.1092437 86.8907563] ; [1.8907563 7.1092437],1
