,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,32.681138,[94 36] ; [17 43],[75.94736842 54.05263158] ; [35.05263158 24.94736842],1
3,p7,1,0.0,28.084787,[117  11] ; [34 24],[103.91397849  24.08602151] ; [47.08602151 10.91397849],1
1,p4,1,0.000335,12.863162,[112  18] ; [38 22],[102.63157895  27.36842105] ; [47.36842105 12.63157895],1
2,p5,1,0.000347,12.798991,[36 95] ; [ 3 57],[ 26.7486911 104.2513089] ; [12.2513089 47.7486911],1
