,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
8,s8,1,0.0,27.686901,[12  1] ; [25 88],[3.81746032 9.18253968] ; [33.18253968 79.81746032],1
11,p5,1,1e-06,23.601028,[5 7] ; [  4 109],[ 0.864 11.136] ; [  8.136 104.864],1
12,p12,1,4e-06,21.412892,[4 9] ; [  2 110],[ 0.624 12.376] ; [  5.376 106.624],1
0,b2,1,5.9e-05,16.132594,[12  1] ; [25 51],[5.40449438 7.59550562] ; [31.59550562 44.40449438],1
1,b3,1,5.9e-05,16.132594,[12  1] ; [25 51],[5.40449438 7.59550562] ; [31.59550562 44.40449438],1
9,p3,1,0.000117,14.841896,[10  3] ; [28 84],[3.952 9.048] ; [34.048 77.952],1
4,v3,1,0.000169,14.147568,[8 1] ; [30 78],[2.92307692 6.07692308] ; [35.07692308 72.92307692],1
5,s2,1,0.000178,14.052722,[11  2] ; [35 76],[4.82258065 8.17741935] ; [41.17741935 69.82258065],1
7,s7,1,0.000199,13.842496,[11  2] ; [35 75],[4.86178862 8.13821138] ; [41.13821138 68.86178862],1
2,a2,1,0.000318,12.963921,[8 5] ; [20 93],[ 2.88888889 10.11111111] ; [25.11111111 87.88888889],1
6,s6,1,0.000825,11.183129,[12  1] ; [49 64],[6.29365079 6.70634921] ; [54.70634921 58.29365079],1
10,p4,1,0.000887,11.050369,[11  2] ; [41 71],[5.408 7.592] ; [46.592 65.408],1
3,v1,1,0.000954,10.915362,[9 1] ; [40 70],[4.08333333 5.91666667] ; [44.91666667 65.08333333],1
