,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,99.208675,[431  46] ; [66 60],[393.14925373  83.85074627] ; [103.85074627  22.14925373],1
11,p10,1,0.0,93.28257,[413  64] ; [60 68],[372.92727273 104.07272727] ; [100.07272727  27.92727273],1
4,r3,1,0.0,72.266913,[468  14] ; [98 33],[445.04404568  36.95595432] ; [120.95595432  10.04404568],1
6,n6,1,0.0,51.677354,[427  51] ; [82 48],[400.16776316  77.83223684] ; [108.83223684  21.16776316],1
7,p2,1,0.0,49.377844,[418  62] ; [78 52],[390.29508197  89.70491803] ; [105.70491803  24.29508197],1
5,r4,1,0.0,48.639265,[440  45] ; [88 44],[415.04051864  69.95948136] ; [112.95948136  19.04051864],1
9,p8,1,0.0,36.534672,[256 218] ; [31 98],[225.60199005 248.39800995] ; [61.39800995 67.60199005],1
2,v4,1,0.0,32.447674,[461  19] ; [107  24],[446.2193126  33.7806874] ; [121.7806874   9.2193126],1
1,v2,1,1.3e-05,18.958682,[277 191] ; [49 81],[255.13043478 212.86956522] ; [70.86956522 59.13043478],1
3,r2,1,2e-05,18.212478,[454  24] ; [110  21],[442.67980296  35.32019704] ; [121.32019704   9.67980296],1
0,a6,1,2.7e-05,17.587036,[338 145] ; [66 65],[317.80456026 165.19543974] ; [86.19543974 44.80456026],1
8,p7,1,0.00021,13.743141,[294 172] ; [58 71],[275.68403361 190.31596639] ; [76.31596639 52.68403361],1
