,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,0.000305,13.038965,[21  5] ; [46 65],[12.71532847 13.28467153] ; [54.28467153 56.71532847],1
1,p7,1,0.000686,11.527876,[16 10] ; [29 80],[ 8.66666667 17.33333333] ; [36.33333333 72.66666667],1
