,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p6,1,5e-06,20.770834,[10 94] ; [24 37],[21.43030303 82.56969697] ; [12.56969697 48.43030303],1
0,p2,1,0.000515,12.059296,[47 59] ; [44 17],[57.76047904 48.23952096] ; [33.23952096 27.76047904],1
