,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,3.8e-05,16.987485,[39 73] ; [298 232],[58.79127726 53.20872274] ; [278.20872274 251.79127726],1
1,p2,1,0.000275,13.234132,[83 29] ; [470  67],[95.43297381 16.56702619] ; [457.56702619  79.43297381],1
0,b1,1,0.000761,11.333035,[56 56] ; [179 360],[40.43010753 71.56989247] ; [194.56989247 344.43010753],1
