,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
7,s8,1,0.0,28.215003,[12 54] ; [12  1],[20.05063291 45.94936709] ; [3.94936709 9.05063291],1
9,p8,1,5.7e-05,16.195943,[11 56] ; [9 4],[16.75 50.25] ; [3.25 9.75],1
10,p12,1,5.8e-05,16.175164,[ 1 67] ; [4 9],[ 4.19753086 63.80246914] ; [ 0.80246914 12.19753086],1
8,p5,1,8.4e-05,15.46554,[ 3 64] ; [5 7],[ 6.78481013 60.21518987] ; [ 1.21518987 10.78481013],1
0,b2,1,0.000119,14.801168,[14 30] ; [12  1],[20.07017544 23.92982456] ; [5.92982456 7.07017544],1
1,b3,1,0.000119,14.801168,[14 30] ; [12  1],[20.07017544 23.92982456] ; [5.92982456 7.07017544],1
3,v3,1,0.000157,14.285714,[16 47] ; [8 1],[21. 42.] ; [3. 6.],1
4,s2,1,0.000208,13.757858,[20 47] ; [11  2],[25.9625 41.0375] ; [5.0375 7.9625],1
2,v1,1,0.000214,13.702066,[20 48] ; [9 1],[25.28205128 42.71794872] ; [3.71794872 6.28205128],1
6,s7,1,0.000317,12.964831,[18 41] ; [11  2],[23.76388889 35.23611111] ; [5.23611111 7.76388889],1
5,s3,1,0.000596,11.787448,[27 40] ; [12  1],[32.6625 34.3375] ; [6.3375 6.6625],1
