,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,5.6e-05,16.239699,[170 288] ; [12  1],[176.97664544 281.02335456] ; [5.02335456 7.97664544],1
1,b3,1,5.6e-05,16.239699,[170 288] ; [12  1],[176.97664544 281.02335456] ; [5.02335456 7.97664544],1
3,s8,1,0.000461,12.26869,[317 410] ; [12  1],[323.22027027 403.77972973] ; [5.77972973 7.22027027],1
2,a2,1,0.000505,12.098612,[156 578] ; [8 5],[161.145917 572.854083] ; [ 2.854083 10.145917],1
