,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,30.05269,[207 248] ; [101 273],[169.04704463 285.95295537] ; [138.95295537 235.04704463],1
2,p8,1,2e-06,23.103898,[275 180] ; [161 208],[240.75242718 214.24757282] ; [195.24757282 173.75242718],1
1,p7,1,1.3e-05,19.023607,[321 133] ; [205 161],[291.22439024 162.77560976] ; [234.77560976 131.22439024],1
