,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,7e-06,20.294267,[25 27] ; [12 77],[13.64539007 38.35460993] ; [23.35460993 65.64539007],1
1,p3,1,1.7e-05,18.497749,[28 25] ; [16 72],[16.53900709 36.46099291] ; [27.46099291 60.53900709],1
0,p2,1,0.000441,12.351216,[37 16] ; [35 54],[26.87323944 26.12676056] ; [45.12676056 43.87323944],1
