,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,91.23252,[30 82] ; [107  14],[65.85407725 46.14592275] ; [71.14592275 49.85407725],1
7,s8,1,1e-06,24.428265,[18 95] ; [56 66],[35.58297872 77.41702128] ; [38.41702128 83.58297872],1
4,s5,1,9e-06,19.648108,[17 94] ; [48 66],[32.06666667 78.93333333] ; [32.93333333 81.06666667],1
8,p2,1,1.5e-05,18.73628,[55 60] ; [91 30],[71.1440678 43.8559322] ; [74.8559322 46.1440678],1
3,s2,1,2e-05,18.150603,[34 80] ; [70 52],[50.23728814 63.76271186] ; [53.76271186 68.23728814],1
9,p6,1,0.000122,14.768692,[17 94] ; [46 76],[30.01287554 80.98712446] ; [32.98712446 89.01287554],1
5,s6,1,0.000151,14.358805,[49 64] ; [81 38],[63.31896552 49.68103448] ; [66.68103448 52.31896552],1
6,s7,1,0.000217,13.675188,[29 76] ; [59 54],[42.3853211 62.6146789] ; [45.6146789 67.3853211],1
2,n6,1,0.000268,13.282734,[61 52] ; [92 28],[74.20171674 38.79828326] ; [78.79828326 41.20171674],1
0,v4,1,0.000323,12.930695,[84 29] ; [112  10],[94.24680851 18.75319149] ; [101.75319149  20.24680851],1
1,r4,1,0.000341,12.828249,[69 46] ; [99 23],[81.51898734 33.48101266] ; [86.48101266 35.51898734],1
