,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,4e-06,21.431576,[15 49] ; [178 145],[31.91731266 32.08268734] ; [161.08268734 161.91731266],1
0,p2,1,6e-06,20.632643,[49 17] ; [300  23],[59.21336761  6.78663239] ; [289.78663239  33.21336761],1
1,p5,1,0.000271,13.25963,[ 2 64] ; [ 72 250],[12.58762887 53.41237113] ; [ 61.41237113 260.58762887],1
3,p8,1,0.000817,11.203201,[34 32] ; [234  89],[45.47043702 20.52956298] ; [222.52956298 100.47043702],1
