,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,25.744293,[60 22] ; [ 3 19],[49.67307692 32.32692308] ; [13.32692308  8.67307692],1
1,p8,1,0.000166,14.178582,[72 11] ; [11 11],[65.60952381 17.39047619] ; [17.39047619  4.60952381],1
