,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,0.0,26.227786,[30  6] ; [52 93],[16.30939227 19.69060773] ; [65.69060773 79.30939227],1
1,p8,1,3.6e-05,17.048427,[21 15] ; [ 34 113],[10.81967213 25.18032787] ; [ 44.18032787 102.81967213],1
