,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,0.0,29.237821,[48 60] ; [ 17 113],[29.49579832 78.50420168] ; [35.50420168 94.49579832],1
0,p2,1,7e-06,20.122285,[84 25] ; [65 68],[67.11157025 41.88842975] ; [81.88842975 51.11157025],1
1,p3,1,2.4e-05,17.832268,[56 53] ; [33 99],[40.25311203 68.74688797] ; [48.74688797 83.25311203],1
3,p8,1,0.000146,14.423564,[46 61] ; [ 27 106],[32.54583333 74.45416667] ; [40.45416667 92.54583333],1
