,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,0.000723,11.428539,[578 101] ; [41 19],[568.74289581 110.25710419] ; [50.25710419  9.74289581],1
1,p10,1,0.000865,11.0966,[553 127] ; [38 22],[543.08108108 136.91891892] ; [47.91891892 12.08108108],1
