,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p4,1,0.0,31.46296,[232  83] ; [88 93],[203.22580645 111.77419355] ; [116.77419355  64.22580645],1
3,p11,1,0.0,26.052312,[274  41] ; [123  58],[252.12701613  62.87298387] ; [144.87298387  36.12701613],1
1,p3,1,1.1e-05,19.415594,[200 115] ; [ 78 103],[176.55241935 138.44758065] ; [101.44758065  79.55241935],1
0,p2,1,0.000754,11.350917,[291  23] ; [150  31],[279.74545455  34.25454545] ; [161.25454545  19.74545455],1
