,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
18,p9,1,0.0,276.237106,[586  31] ; [17 49],[544.73060029  72.26939971] ; [58.26939971  7.73060029],1
7,r3,1,0.0,85.783189,[596  19] ; [47 21],[578.98243045  36.01756955] ; [64.01756955  3.98243045],1
13,p2,1,0.0,77.274852,[538  77] ; [31 37],[512.34992679 102.65007321] ; [56.65007321 11.34992679],1
8,r4,1,0.0,62.521224,[565  53] ; [40 28],[545.02915452  72.97084548] ; [59.97084548  8.02915452],1
4,v4,1,0.0,56.83259,[589  23] ; [49 18],[575.04565538  36.95434462] ; [62.95434462  4.04565538],1
10,n6,1,0.0,48.705423,[540  74] ; [38 30],[520.36950147  93.63049853] ; [57.63049853 10.36950147],1
17,p8,1,0.0,44.435187,[360 249] ; [11 56],[334.22928994 274.77071006] ; [36.77071006 30.22928994],1
16,p7,1,0.0,30.490966,[414 187] ; [24 44],[393.47982063 207.52017937] ; [44.52017937 23.47982063],1
5,r1,1,3e-06,21.629623,[495 120] ; [38 30],[479.9341142 135.0658858] ; [53.0658858 14.9341142],1
6,r2,1,5e-06,20.716209,[576  35] ; [53 14],[566.84218289  44.15781711] ; [62.15781711  4.84218289],1
3,v2,1,6e-06,20.432861,[348 244] ; [20 47],[330.58573596 261.41426404] ; [37.41426404 29.58573596],1
14,p4,1,1e-05,19.50265,[395 220] ; [25 43],[378.18448023 236.81551977] ; [41.81551977 26.18448023],1
12,s8,1,1.2e-05,19.105255,[284 330] ; [12 54],[267.27058824 346.72941176] ; [28.72941176 37.27058824],1
2,v1,1,2.2e-05,18.027899,[339 261] ; [20 48],[322.45508982 277.54491018] ; [36.54491018 31.45508982],1
9,n5,1,0.000173,14.107955,[492 122] ; [41 27],[479.85630499 134.14369501] ; [53.14369501 14.85630499],1
1,a6,1,0.000282,13.188123,[429 187] ; [32 35],[415.77745242 200.22254758] ; [45.22254758 21.77745242],1
11,s2,1,0.000647,11.635259,[317 295] ; [20 47],[303.7466863 308.2533137] ; [33.2533137 33.7466863],1
15,p6,1,0.000738,11.390697,[229 380] ; [11 55],[216.53333333 392.46666667] ; [23.46666667 42.53333333],1
0,a5,1,0.000823,11.188187,[470 148] ; [39 29],[458.5451895 159.4548105] ; [50.4548105 17.5451895],1
