,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,66.424666,[43 67] ; [207  45],[75.96685083 34.03314917] ; [174.03314917  77.96685083],1
6,p3,1,0.0,33.292297,[28 84] ; [146 107],[53.39178082 58.60821918] ; [120.60821918 132.39178082],1
9,p7,1,0.0,32.400467,[45 66] ; [180  70],[69.18282548 41.81717452] ; [155.81717452  94.18282548],1
10,p8,1,1e-06,24.233522,[35 76] ; [149 101],[56.57617729 54.42382271] ; [127.42382271 122.57617729],1
7,p4,1,1e-06,23.232968,[41 71] ; [162  92],[62.12021858 49.87978142] ; [140.87978142 113.12021858],1
2,n5,1,2e-06,22.724667,[61 50] ; [203  53],[79.84741144 31.15258856] ; [184.15258856  71.84741144],1
4,s8,1,9e-06,19.722108,[25 88] ; [118 135],[44.15027322 68.84972678] ; [ 98.84972678 154.15027322],1
1,n4,1,1e-05,19.432627,[66 45] ; [208  48],[82.8719346 28.1280654] ; [191.1280654  64.8719346],1
8,p6,1,0.000106,15.030521,[23 87] ; [105 144],[39.22005571 70.77994429] ; [ 88.77994429 160.22005571],1
0,a5,1,0.000284,13.170001,[66 47] ; [197  59],[80.53929539 32.46070461] ; [182.46070461  73.53929539],1
5,p2,1,0.000326,12.913502,[74 39] ; [208  44],[87.30410959 25.69589041] ; [194.69589041  57.30410959],1
3,s6,1,0.00057,11.871017,[49 64] ; [155  92],[64.03333333 48.96666667] ; [139.96666667 107.03333333],1
