,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,2e-06,22.516712,[227  34] ; [55 31],[212.10951009  48.89048991] ; [69.89048991 16.10951009],1
2,p11,1,9e-06,19.665491,[232  29] ; [59 27],[218.87896254  42.12103746] ; [72.12103746 13.87896254],1
1,p6,1,0.000437,12.365022,[156 101] ; [33 52],[142.02631579 114.97368421] ; [46.97368421 38.02631579],1
