,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,0.000721,11.435118,[12  1] ; [10 18],[6.97560976 6.02439024] ; [15.02439024 12.97560976],1
1,b3,1,0.000721,11.435118,[12  1] ; [10 18],[6.97560976 6.02439024] ; [15.02439024 12.97560976],1
3,p12,1,0.000874,11.077247,[4 9] ; [ 2 60],[ 1.04 11.96] ; [ 4.96 57.04],1
2,s8,1,0.000957,10.909202,[12  1] ; [26 36],[6.58666667 6.41333333] ; [31.41333333 30.58666667],1
