,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,36.157906,[14 79] ; [51 37],[33.39779006 59.60220994] ; [31.60220994 56.39779006],1
2,p6,1,0.0,29.213044,[ 5 87] ; [34 54],[19.93333333 72.06666667] ; [19.06666667 68.93333333],1
1,p4,1,2e-06,23.062541,[18 74] ; [48 41],[33.54696133 58.45303867] ; [32.45303867 56.54696133],1
0,p2,1,7e-06,20.150363,[44 49] ; [70 18],[58.57458564 34.42541436] ; [55.42541436 32.57458564],1
