,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,2e-06,22.994939,[104  37] ; [15 29],[90.6972973 50.3027027] ; [28.3027027 15.6972973],1
1,p6,1,5.7e-05,16.213172,[88 52] ; [12 31],[76.50273224 63.49726776] ; [23.49726776 19.50273224],1
