,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,148.503419,[43 67] ; [424  46],[88.56896552 21.43103448] ; [378.43103448  91.56896552],1
6,n6,1,0.0,31.154259,[75 35] ; [420  51],[93.71772806 16.28227194] ; [401.28227194  69.71772806],1
9,p2,1,0.0,30.115251,[74 39] ; [412  61],[93.71672355 19.28327645] ; [392.28327645  80.71672355],1
1,v4,1,1e-06,24.993518,[93 19] ; [454  19],[104.72478632   7.27521368] ; [442.27521368  30.72478632],1
7,s6,1,3e-06,21.587904,[49 64] ; [314 155],[70.47938144 42.52061856] ; [292.52061856 176.47938144],1
2,r3,1,4e-06,21.354733,[96 15] ; [461  14],[105.50682594   5.49317406] ; [451.49317406  23.50682594],1
12,p7,1,1.7e-05,18.523247,[45 66] ; [289 170],[65.04210526 45.95789474] ; [268.95789474 190.04210526],1
13,p8,1,2.2e-05,18.048804,[35 76] ; [252 215],[55.11591696 55.88408304] ; [231.88408304 235.11591696],1
11,p4,1,2.2e-05,17.992558,[41 71] ; [277 194],[61.09090909 50.90909091] ; [256.90909091 214.09090909],1
3,r4,1,2.3e-05,17.910424,[86 27] ; [433  45],[99.23350254 13.76649746] ; [419.76649746  58.23350254],1
5,n5,1,3.9e-05,16.938952,[61 50] ; [351 119],[78.71256454 32.28743546] ; [333.28743546 136.71256454],1
10,p3,1,4.7e-05,16.563626,[28 84] ; [219 256],[47.12776831 64.87223169] ; [199.87223169 275.12776831],1
8,s8,1,9.4e-05,15.24983,[25 88] ; [199 275],[43.120954 69.879046] ; [180.879046 293.120954],1
4,n4,1,0.000176,14.07382,[66 45] ; [366 110],[81.68994889 29.31005111] ; [350.31005111 125.68994889],1
0,v1,1,0.000955,10.913396,[40 70] ; [250 214],[55.57491289 54.42508711] ; [234.42508711 229.57491289],1
