,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,199.14296,[424  46] ; [28 74],[371.3986014  98.6013986] ; [80.6013986 21.3986014],1
8,r3,1,0.0,62.959142,[461  14] ; [80 26],[442.29776248  32.70223752] ; [98.70223752  7.29776248],1
15,p2,1,0.0,62.510203,[412  61] ; [57 49],[383.13816926  89.86183074] ; [85.86183074 20.13816926],1
11,n6,1,0.0,62.393878,[420  51] ; [61 45],[392.63604853  78.36395147] ; [88.36395147 17.63604853],1
9,r4,1,0.0,52.809001,[433  45] ; [67 39],[409.24657534  68.75342466] ; [90.75342466 15.24657534],1
5,v4,1,0.0,34.076684,[454  19] ; [84 21],[440.26643599  32.73356401] ; [97.73356401  7.26643599],1
18,p8,1,0.0,26.6878,[252 215] ; [27 77],[228.18388792 238.81611208] ; [50.81611208 53.18388792],1
7,r2,1,0.0,26.482444,[447  24] ; [84 21],[434.203125  36.796875] ; [96.796875  8.203125],1
1,a7,1,9e-06,19.765242,[355 121] ; [56 50],[336.1443299 139.8556701] ; [74.8556701 31.1443299],1
10,n5,1,1.9e-05,18.300007,[351 119] ; [57 49],[332.91666667 137.08333333] ; [75.08333333 30.91666667],1
4,v2,1,2.3e-05,17.905034,[272 190] ; [37 66],[252.66902655 209.33097345] ; [56.33097345 46.66902655],1
6,r1,1,2.6e-05,17.661602,[379  97] ; [64 42],[362.3161512 113.6838488] ; [80.6838488 25.3161512],1
0,a6,1,0.00013,14.642266,[333 143] ; [53 52],[316.24096386 159.75903614] ; [69.75903614 35.24096386],1
16,p4,1,0.000167,14.175576,[277 194] ; [41 65],[259.58058925 211.41941075] ; [58.41941075 47.58058925],1
14,s8,1,0.000203,13.806032,[199 275] ; [23 80],[182.37088388 291.62911612] ; [39.62911612 63.37088388],1
12,s6,1,0.000217,13.676581,[314 155] ; [49 54],[297.63461538 171.36538462] ; [65.36538462 37.63461538],1
13,s7,1,0.000322,12.936452,[218 241] ; [26 69],[202.15884477 256.84115523] ; [41.84115523 53.15884477],1
3,v1,1,0.000423,12.426023,[250 214] ; [37 69],[233.62807018 230.37192982] ; [53.37192982 52.62807018],1
17,p7,1,0.000431,12.39103,[289 170] ; [47 59],[272.96283186 186.03716814] ; [63.03716814 42.96283186],1
2,d3,1,0.000637,11.665588,[332 144] ; [55 50],[317.06024096 158.93975904] ; [69.93975904 35.06024096],1
