,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.000494,12.139724,[19 21] ; [ 7 43],[11.55555556 28.44444444] ; [14.44444444 35.55555556],1
1,p8,1,0.000821,11.193959,[22 19] ; [10 40],[14.41758242 26.58241758] ; [17.58241758 32.41758242],1
