,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,29.980716,[ 48 106] ; [34 10],[63.77777778 90.22222222] ; [18.22222222 25.77777778],1
0,p3,1,1.5e-05,18.749258,[ 53 103] ; [31 13],[65.52 90.48] ; [18.48 25.52],1
1,p4,1,0.000547,11.949109,[ 54 102] ; [28 16],[63.96 92.04] ; [18.04 25.96],1
