,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
9,s2,1,0.0,63.874286,[92 46] ; [16 89],[61.33333333 76.66666667] ; [46.66666667 58.33333333],1
7,r4,1,0.0,46.136685,[122  16] ; [51 54],[98.24691358 39.75308642] ; [74.75308642 30.24691358],1
13,s8,1,0.0,40.699942,[66 72] ; [10 95],[43.16049383 94.83950617] ; [32.83950617 72.16049383],1
12,s7,1,0.0,39.309204,[74 53] ; [16 80],[51.25560538 75.74439462] ; [38.74439462 57.25560538],1
11,s5,1,0.0,38.244061,[59 73] ; [ 8 94],[37.79487179 94.20512821] ; [29.20512821 72.79487179],1
4,r1,1,0.0,32.675983,[115  22] ; [51 52],[94.75833333 42.24166667] ; [71.24166667 31.75833333],1
6,r3,1,0.0,30.910217,[125  11] ; [65 39],[107.66666667  28.33333333] ; [82.33333333 21.66666667],1
10,s3,1,0.0,30.631529,[88 49] ; [29 74],[66.7875 70.2125] ; [50.2125 52.7875],1
16,p4,1,0.0,28.331103,[78 59] ; [23 79],[57.89539749 79.10460251] ; [43.10460251 58.89539749],1
3,v4,1,1.3e-05,19.010011,[128  10] ; [74 29],[115.66804979  22.33195021] ; [86.33195021 16.66804979],1
5,r2,1,1.4e-05,18.852575,[132   6] ; [77 23],[121.18487395  16.81512605] ; [87.81512605 12.18487395],1
8,n6,1,1.5e-05,18.684211,[104  32] ; [51 52],[88.20083682 47.79916318] ; [66.79916318 36.20083682],1
2,v2,1,2.1e-05,18.113404,[72 60] ; [27 74],[56.08583691 75.91416309] ; [42.91416309 58.08583691],1
17,p9,1,4.2e-05,16.773031,[94 40] ; [43 56],[78.78969957 55.21030043] ; [58.21030043 40.78969957],1
14,p2,1,7.1e-05,15.776552,[99 38] ; [49 55],[84.13278008 52.86721992] ; [63.86721992 40.13278008],1
1,v1,1,0.000127,14.690389,[69 68] ; [27 77],[54.57261411 82.42738589] ; [41.42738589 62.57261411],1
0,d5,1,0.000269,13.272625,[114  23] ; [65 39],[101.75518672  35.24481328] ; [77.24481328 26.75518672],1
18,p10,1,0.000326,12.914566,[81 52] ; [38 64],[67.34893617 65.65106383] ; [51.65106383 50.34893617],1
15,p3,1,0.000447,12.325289,[62 75] ; [24 79],[49.09166667 87.90833333] ; [36.90833333 66.09166667],1
