,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p9,1,0.0,69.299429,[242  28] ; [64 59],[210.22900763  59.77099237] ; [95.77099237 27.22900763],1
11,p8,1,0.0,38.990847,[150 119] ; [28 98],[121.22025316 147.77974684] ; [56.77974684 69.22025316],1
7,p2,1,0.0,26.584986,[224  44] ; [76 51],[203.5443038  64.4556962] ; [96.4556962 30.5443038],1
2,r3,1,1e-06,23.844122,[248  21] ; [95 33],[232.41057935  36.58942065] ; [110.58942065  17.41057935],1
10,p7,1,1e-06,23.349944,[187  78] ; [57 69],[165.37084399  99.62915601] ; [78.62915601 47.37084399],1
3,r4,1,2e-06,22.644297,[234  37] ; [85 44],[216.1225  54.8775] ; [102.8775  26.1225],1
5,n5,1,3.1e-05,17.358089,[219  51] ; [79 49],[202.16080402  67.83919598] ; [95.83919598 32.16080402],1
6,n6,1,5.3e-05,16.324679,[218  51] ; [79 48],[201.75  67.25] ; [95.25 31.75],1
9,p4,1,6.2e-05,16.035965,[175  96] ; [55 72],[156.6080402 114.3919598] ; [73.3919598 53.6080402],1
1,v4,1,0.000461,12.265139,[250  19] ; [104  24],[239.86397985  29.13602015] ; [114.13602015  13.86397985],1
4,n4,1,0.000537,11.982591,[216  55] ; [82 47],[201.895  69.105] ; [96.105 32.895],1
0,a5,1,0.000543,11.962838,[209  62] ; [78 51],[194.4425  76.5575] ; [92.5575 36.4425],1
8,p3,1,0.000911,10.99941,[156 113] ; [51 76],[140.61363636 128.38636364] ; [66.38636364 60.61363636],1
