,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,29.621122,[45 40] ; [ 25 113],[26.68161435 58.31838565] ; [43.31838565 94.68161435],1
3,p8,1,1.4e-05,18.899648,[39 45] ; [ 26 111],[24.70588235 59.29411765] ; [40.29411765 96.70588235],1
2,p6,1,0.000169,14.143831,[31 53] ; [ 20 115],[19.56164384 64.43835616] ; [ 31.43835616 103.56164384],1
0,p2,1,0.000302,13.057172,[63 22] ; [69 70],[50.08928571 34.91071429] ; [81.91071429 57.08928571],1
