,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,0.0,59.027577,[58  9] ; [14 54],[35.73333333 31.26666667] ; [36.26666667 31.73333333],1
1,p11,1,6.6e-05,15.914922,[46 22] ; [24 47],[34.24460432 33.75539568] ; [35.75539568 35.24460432],1
