,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p9,1,0.0,97.327329,[28 74] ; [207  45],[67.71186441 34.28813559] ; [167.28813559  84.71186441],1
16,p8,1,0.0,33.244223,[27 77] ; [149 101],[51.70621469 52.29378531] ; [124.29378531 125.70621469],1
12,p2,1,0.0,32.108684,[57 49] ; [208  44],[78.46368715 27.53631285] ; [186.53631285  65.46368715],1
5,r3,1,0.0,27.383747,[80 26] ; [240  14],[94.22222222 11.77777778] ; [225.77777778  28.22222222],1
6,r4,1,0.0,26.877331,[67 39] ; [223  33],[84.91712707 21.08287293] ; [205.08287293  50.91712707],1
15,p7,1,1e-06,24.648841,[47 59] ; [180  70],[67.58988764 38.41011236] ; [159.41011236  90.58988764],1
8,n5,1,1e-06,24.129826,[57 49] ; [203  53],[76.13259669 29.86740331] ; [183.86740331  72.13259669],1
14,p4,1,1.2e-05,19.160357,[41 65] ; [162  92],[59.77222222 46.22777778] ; [143.22777778 110.77222222],1
9,n6,1,1.5e-05,18.732898,[61 45] ; [204  52],[77.59668508 28.40331492] ; [187.40331492  68.59668508],1
11,s8,1,2.1e-05,18.085392,[23 80] ; [118 135],[40.79494382 62.20505618] ; [100.20505618 152.79494382],1
3,v4,1,0.000103,15.085195,[84 21] ; [238  16],[94.17827298 10.82172702] ; [227.82172702  26.17827298],1
1,a5,1,0.000103,15.07416,[60 46] ; [197  59],[75.25414365 30.74585635] ; [181.74585635  74.25414365],1
0,a3,1,0.000304,13.043217,[58 48] ; [189  66],[72.52631579 33.47368421] ; [174.47368421  80.52631579],1
4,r1,1,0.000425,12.420101,[64 42] ; [200  55],[77.51800554 28.48199446] ; [186.48199446  68.51800554],1
13,p3,1,0.000551,11.934113,[40 66] ; [146 107],[54.91922006 51.08077994] ; [131.08077994 121.91922006],1
10,s7,1,0.000649,11.630748,[26 69] ; [116 127],[39.9112426 55.0887574] ; [102.0887574 140.9112426],1
2,v1,1,0.000672,11.564139,[37 69] ; [136 113],[51.65633803 54.34366197] ; [121.34366197 127.65633803],1
7,n4,1,0.000967,10.88943,[69 37] ; [208  48],[81.11049724 24.88950276] ; [195.88950276  60.11049724],1
