,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
7,s8,1,0.0,35.315024,[12  1] ; [20 96],[3.2248062 9.7751938] ; [28.7751938 87.2248062],1
10,p12,1,0.0,28.558195,[4 9] ; [  1 117],[ 0.49618321 12.50381679] ; [  4.50381679 113.49618321],1
8,p5,1,1.6e-05,18.628704,[5 7] ; [  6 111],[ 1.02325581 10.97674419] ; [  9.97674419 107.02325581],1
6,s7,1,9.1e-05,15.314041,[11  2] ; [32 76],[4.61983471 8.38016529] ; [38.38016529 69.61983471],1
4,v3,1,0.000108,14.983341,[8 1] ; [29 80],[2.8220339 6.1779661] ; [34.1779661 74.8220339],1
0,b2,1,0.000116,14.855171,[12  1] ; [25 47],[5.65882353 7.34117647] ; [31.34117647 40.65882353],1
1,b3,1,0.000116,14.855171,[12  1] ; [25 47],[5.65882353 7.34117647] ; [31.34117647 40.65882353],1
5,s2,1,0.000173,14.10682,[11  2] ; [37 80],[4.8 8.2] ; [43.2 73.8],1
3,v1,1,0.000389,12.58278,[9 1] ; [39 78],[3.77952756 6.22047244] ; [44.22047244 72.77952756],1
9,p8,1,0.000908,11.005634,[9 4] ; [29 87],[3.82945736 9.17054264] ; [34.17054264 81.82945736],1
2,d1,1,0.000959,10.905726,[12  1] ; [52 66],[6.35114504 6.64885496] ; [57.64885496 60.35114504],1
