,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
16,p9,1,0.0,177.033029,[586  31] ; [64 59],[541.95945946  75.04054054] ; [108.04054054  14.95945946],1
7,r3,1,0.0,83.816811,[596  19] ; [95 33],[571.95827725  43.04172275] ; [119.04172275   8.95827725],1
8,r4,1,0.0,61.574308,[565  53] ; [85 44],[537.75100402  80.24899598] ; [112.24899598  16.75100402],1
15,p8,1,0.0,57.01074,[360 249] ; [28 98],[321.48571429 287.51428571] ; [66.51428571 59.48571429],1
12,p2,1,0.0,56.323687,[538  77] ; [76 51],[508.9083558 106.0916442] ; [105.0916442  21.9083558],1
11,n6,1,0.0,50.706481,[540  74] ; [79 48],[512.90958165 101.09041835] ; [106.09041835  20.90958165],1
4,v4,1,0.0,40.001043,[589  23] ; [104  24],[573.12972973  38.87027027] ; [119.87027027   8.12972973],1
14,p7,1,0.0,25.531374,[414 187] ; [57 69],[389.36863824 211.63136176] ; [81.63136176 44.36863824],1
10,n5,1,7e-06,20.245589,[492 122] ; [79 49],[472.49865229 141.50134771] ; [98.50134771 29.49865229],1
3,v2,1,8e-06,20.029257,[348 244] ; [47 80],[325.2294854 266.7705146] ; [69.7705146 57.2294854],1
13,p4,1,1.1e-05,19.3034,[395 220] ; [55 72],[372.97843666 242.02156334] ; [77.02156334 49.97843666],1
6,r2,1,3.3e-05,17.229056,[576  35] ; [107  21],[564.69959405  46.30040595] ; [118.30040595   9.69959405],1
9,n4,1,3.8e-05,16.988438,[496 122] ; [82 47],[478.18473896 139.81526104] ; [99.81526104 29.18473896],1
1,a6,1,3.9e-05,16.898729,[429 187] ; [65 63],[409.01075269 206.98924731] ; [84.98924731 43.01075269],1
0,a5,1,0.00027,13.266962,[470 148] ; [78 51],[453.36546185 164.63453815] ; [94.63453815 34.36546185],1
5,r1,1,0.000277,13.220668,[495 120] ; [85 44],[479.43548387 135.56451613] ; [100.56451613  28.43548387],1
2,v1,1,0.000822,11.190889,[339 261] ; [52 77],[321.81069959 278.18930041] ; [69.18930041 59.81069959],1
