,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,5.5e-05,16.273478,[ 13 101] ; [19 30],[22.3803681 91.6196319] ; [ 9.6196319 39.3803681],1
0,p6,1,0.000113,14.914037,[ 10 103] ; [16 32],[18.2484472 94.7515528] ; [ 7.7515528 40.2484472],1
