,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,67.480114,[ 16 127] ; [62 40],[45.52653061 97.47346939] ; [32.47346939 69.52653061],1
1,p6,1,0.000247,13.433098,[ 11 132] ; [25 77],[ 21.0122449 121.9877551] ; [14.9877551 87.0122449],1
