,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,33.230991,[ 32 344] ; [29 65],[ 48.8 327.2] ; [12.2 81.8],1
2,p12,1,0.0,29.246684,[ 25 351] ; [24 69],[ 39.28358209 336.71641791] ; [ 9.71641791 83.28358209],1
1,p8,1,0.00023,13.567773,[231 145] ; [76 17],[246.12366738 129.87633262] ; [60.87633262 32.12366738],1
