,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,32.25715,[372 183] ; [403 380],[321.46860987 233.53139013] ; [453.53139013 329.46860987],1
1,p6,1,0.000407,12.498846,[267 283] ; [299 472],[235.65480696 314.34519304] ; [330.34519304 440.65480696],1
