,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,36.527544,[ 26 298] ; [26 51],[ 42.01496259 281.98503741] ; [ 9.98503741 67.01496259],1
3,p12,1,1e-06,24.518855,[ 24 299] ; [21 56],[ 36.3375 286.6625] ; [ 8.6625 68.3375],1
1,p6,1,0.000219,13.660889,[146 174] ; [52 23],[160.40506329 159.59493671] ; [37.59493671 37.40506329],1
2,p8,1,0.00043,12.396754,[209 114] ; [65 11],[221.80952381 101.19047619] ; [52.19047619 23.80952381],1
