,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,29.024943,[ 26 114] ; [34 26],[42. 98.] ; [18. 42.],1
2,p7,1,6.2e-05,16.047966,[ 31 105] ; [31 29],[43.02040816 92.97959184] ; [18.97959184 41.02040816],1
3,p8,1,0.000147,14.404239,[ 22 120] ; [24 36],[ 32.33663366 109.66336634] ; [13.66336634 46.33663366],1
1,p6,1,0.000368,12.686012,[ 17 124] ; [20 40],[ 25.95522388 115.04477612] ; [11.04477612 48.95522388],1
