,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
9,s8,1,0.0,37.492291,[18 95] ; [12  1],[26.9047619 86.0952381] ; [3.0952381 9.9047619],1
14,p12,1,0.0,27.816899,[  1 114] ; [4 9],[  4.4921875 110.5078125] ; [ 0.5078125 12.4921875],1
11,p5,1,2.1e-05,18.057291,[  6 108] ; [5 7],[  9.95238095 104.04761905] ; [ 1.04761905 10.95238095],1
8,s7,1,4.2e-05,16.770807,[29 76] ; [11  2],[35.59322034 69.40677966] ; [4.40677966 8.59322034],1
0,b2,1,8e-05,15.551305,[23 46] ; [12  1],[29.45121951 39.54878049] ; [5.54878049 7.45121951],1
1,b3,1,8e-05,15.551305,[23 46] ; [12  1],[29.45121951 39.54878049] ; [5.54878049 7.45121951],1
5,s2,1,9.1e-05,15.312328,[34 80] ; [11  2],[40.39370079 73.60629921] ; [4.60629921 8.39370079],1
4,v3,1,0.000134,14.589379,[29 78] ; [8 1],[34.12931034 72.87068966] ; [2.87068966 6.12931034],1
3,v1,1,0.000304,13.045841,[37 77] ; [9 1],[42.29032258 71.70967742] ; [3.70967742 6.29032258],1
13,p8,1,0.000426,12.415919,[26 87] ; [9 4],[31.38888889 81.61111111] ; [3.61111111 9.38888889],1
2,d1,1,0.000672,11.564897,[49 66] ; [12  1],[54.8046875 60.1953125] ; [6.1953125 6.8046875],1
10,p4,1,0.000726,11.422507,[41 73] ; [11  2],[46.67716535 67.32283465] ; [5.32283465 7.67716535],1
6,s3,1,0.00073,11.411665,[48 64] ; [12  1],[53.76 58.24] ; [6.24 6.76],1
7,s6,1,0.000825,11.183129,[49 64] ; [12  1],[54.70634921 58.29365079] ; [6.29365079 6.70634921],1
12,p6,1,0.000878,11.068626,[17 94] ; [7 6],[21.48387097 89.51612903] ; [ 2.51612903 10.48387097],1
