,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,0.0,32.497648,[59 35] ; [ 71 173],[36.15384615 57.84615385] ; [ 93.84615385 150.15384615],1
0,p2,1,1e-06,23.37486,[82 15] ; [141 107],[62.69855072 34.30144928] ; [160.30144928  87.69855072],1
2,p10,1,0.000371,12.673829,[79 18] ; [151  95],[65.04373178 31.95626822] ; [164.95626822  81.04373178],1
