,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,27.305691,[16 60] ; [22  7],[27.5047619 48.4952381] ; [10.4952381 18.5047619],1
1,p6,1,1e-06,23.640023,[ 8 71] ; [16 14],[17.39449541 61.60550459] ; [ 6.60550459 23.39449541],1
0,p5,1,3.2e-05,17.323032,[ 2 74] ; [ 9 21],[ 7.88679245 68.11320755] ; [ 3.11320755 26.88679245],1
