,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,2.7e-05,17.644949,[22 23] ; [18 92],[11.61290323 33.38709677] ; [28.38709677 81.61290323],1
0,p2,1,0.000307,13.028753,[33 12] ; [46 65],[22.78846154 22.21153846] ; [56.21153846 54.78846154],1
