,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p9,1,0.0,213.308741,[44 59] ; [457  17],[89.43327556 13.56672444] ; [411.56672444  62.43327556],1
4,n5,1,6e-06,20.547175,[58 49] ; [358 113],[77.01038062 29.98961938] ; [338.98961938 132.01038062],1
5,n6,1,9e-06,19.79823,[77 29] ; [420  51],[91.30329289 14.69670711] ; [405.69670711  65.30329289],1
7,s6,1,1.7e-05,18.469901,[51 55] ; [327 140],[69.92670157 36.07329843] ; [308.07329843 158.92670157],1
10,p4,1,3.5e-05,17.114475,[41 66] ; [284 187],[60.16435986 46.83564014] ; [264.83564014 206.16435986],1
8,p2,1,6.9e-05,15.827749,[76 31] ; [411  63],[89.68846816 17.31153184] ; [397.31153184  76.68846816],1
9,p3,1,7.8e-05,15.60397,[29 78] ; [228 246],[47.33046472 59.66953528] ; [209.66953528 264.33046472],1
11,p8,1,9.6e-05,15.222345,[36 69] ; [259 209],[54.05759162 50.94240838] ; [240.94240838 227.05759162],1
3,v4,1,0.000204,13.789347,[95 12] ; [457  14],[102.18685121   4.81314879] ; [449.81314879  21.18685121],1
1,a7,1,0.000425,12.418471,[63 43] ; [362 113],[77.53872633 28.46127367] ; [347.46127367 127.53872633],1
0,a5,1,0.000451,12.310096,[60 47] ; [348 127],[75.01030928 31.98969072] ; [332.98969072 142.01030928],1
2,d5,1,0.000573,11.861134,[73 34] ; [393  81],[85.82099828 21.17900172] ; [380.17900172  93.82099828],1
6,s2,1,0.000615,11.729209,[35 70] ; [244 227],[50.859375 54.140625] ; [228.140625 242.859375],1
