,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,78.6318,[112  50] ; [ 89 238],[66.58895706 95.41104294] ; [134.41104294 192.58895706],1
2,p7,1,4.3e-05,16.721296,[86 76] ; [108 212],[65.2033195 96.7966805] ; [128.7966805 191.2033195],1
0,b1,1,0.000713,11.455144,[84 78] ; [118 211],[66.64765784 95.35234216] ; [135.35234216 193.64765784],1
