,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,s2,1,0.0,196.199359,[403 214] ; [ 65 286],[298.30165289 318.69834711] ; [169.69834711 181.30165289],1
13,s3,1,0.0,167.59439,[425 185] ; [ 92 257],[328.85297185 281.14702815] ; [188.14702815 160.85297185],1
17,s8,1,0.0,125.415871,[339 279] ; [ 64 290],[256.22839506 361.77160494] ; [146.77160494 207.22839506],1
16,s7,1,0.0,124.666191,[359 237] ; [ 73 258],[277.74757282 318.25242718] ; [154.25242718 176.74757282],1
15,s5,1,0.0,97.467182,[260 341] ; [ 42 303],[191.86257928 409.13742072] ; [110.13742072 234.86257928],1
9,r4,1,0.0,52.958443,[567  54] ; [262  92],[528.00923077  92.99076923] ; [300.99076923  53.00923077],1
20,p4,1,0.0,43.408553,[395 222] ; [147 202],[346.18426501 270.81573499] ; [195.81573499 153.18426501],1
25,p9,1,0.0,42.601285,[531  81] ; [240 106],[492.53862213 119.46137787] ; [278.46137787  67.53862213],1
26,p10,1,0.0,37.463312,[508 103] ; [229 119],[469.55891554 141.44108446] ; [267.44108446  80.55891554],1
8,r3,1,0.0,35.494042,[593  25] ; [299  52],[568.89164087  49.10835913] ; [323.10835913  27.89164087],1
14,s4,1,0.0,28.782529,[132 481] ; [ 29 325],[102.06101344 510.93898656] ; [ 58.93898656 295.06101344],1
5,v4,1,0.0,28.606504,[592  26] ; [302  48],[570.75619835  47.24380165] ; [323.24380165  26.75619835],1
6,r1,1,0.0,27.838791,[508 110] ; [237 115],[474.64948454 143.35051546] ; [270.35051546  81.64948454],1
11,n6,1,0.0,27.019125,[527  89] ; [252  99],[496.23991727 119.76008273] ; [282.76008273  68.23991727],1
22,p6,1,1e-06,24.400188,[243 367] ; [ 83 262],[208.23036649 401.76963351] ; [117.76963351 227.23036649],1
19,p3,1,6e-06,20.52459,[323 295] ; [130 220],[289.20867769 328.79132231] ; [163.79132231 186.20867769],1
4,v1,1,7e-06,20.323256,[341 262] ; [144 204],[307.52365931 295.47634069] ; [177.47634069 170.52365931],1
27,p12,1,1.8e-05,18.352304,[ 62 555] ; [  9 341],[ 45.30196484 571.69803516] ; [ 25.69803516 324.30196484],1
10,n5,1,1.9e-05,18.278975,[476 141] ; [226 125],[447.45247934 169.54752066] ; [254.54752066  96.45247934],1
18,p2,1,2e-05,18.158763,[514 103] ; [251  99],[488.11271975 128.88728025] ; [276.88728025  73.11271975],1
23,p7,1,2.1e-05,18.077748,[393 206] ; [179 168],[362.18604651 236.81395349] ; [209.81395349 137.18604651],1
21,p5,1,4.9e-05,16.504592,[ 83 532] ; [ 18 331],[ 64.4346473 550.5653527] ; [ 36.5653527 312.4346473],1
2,d5,1,4.9e-05,16.49502,[510 108] ; [252 101],[484.98043254 133.01956746] ; [277.01956746  75.98043254],1
7,r2,1,6.4e-05,15.990765,[580  33] ; [303  44],[563.83229167  49.16770833] ; [319.16770833  27.83229167],1
3,u1,1,0.000244,13.461207,[123 498] ; [ 38 316],[102.54461538 518.45538462] ; [ 58.45538462 295.54461538],1
1,d4,1,0.000251,13.404177,[516 101] ; [260  92],[494.10939112 122.89060888] ; [281.89060888  70.10939112],1
0,a5,1,0.000309,13.016173,[462 158] ; [225 129],[437.3100616 182.6899384] ; [249.6899384 104.3100616],1
24,p8,1,0.000711,11.459317,[323 286] ; [145 203],[297.81818182 311.18181818] ; [170.18181818 177.81818182],1
