,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,108.688197,[44 67] ; [250  28],[83.89203085 27.10796915] ; [210.10796915  67.89203085],1
9,p3,1,0.0,37.271663,[28 85] ; [163 114],[55.34102564 57.65897436] ; [135.65897436 141.34102564],1
12,p7,1,0.0,30.509678,[45 67] ; [192  81],[68.94545455 43.05454545] ; [168.05454545 104.94545455],1
2,n5,1,0.0,28.769893,[62 50] ; [227  51],[82.99487179 29.00512821] ; [206.00512821  71.99487179],1
10,p4,1,0.0,27.483241,[41 72] ; [182  97],[64.28316327 48.71683673] ; [158.71683673 120.28316327],1
7,s8,1,0.0,27.44672,[25 89] ; [141 137],[48.2755102 65.7244898] ; [117.7244898 160.2755102],1
15,p11,1,7e-06,20.065204,[64 50] ; [219  60],[82.09160305 31.90839695] ; [200.90839695  78.09160305],1
13,p8,1,8e-06,20.052912,[35 77] ; [156 121],[54.99228792 57.00771208] ; [136.00771208 140.99228792],1
3,s2,1,1.2e-05,19.215177,[35 77] ; [154 122],[54.55670103 57.44329897] ; [134.44329897 141.55670103],1
5,s6,1,2.3e-05,17.964925,[50 64] ; [181  89],[68.578125 45.421875] ; [162.421875 107.578125],1
1,n4,1,4e-05,16.864337,[67 45] ; [223  56],[83.06905371 28.93094629] ; [206.93094629  72.06905371],1
6,s7,1,4e-05,16.852299,[35 76] ; [145 120],[53.13829787 57.86170213] ; [126.86170213 138.13829787],1
8,p2,1,6.6e-05,15.927052,[74 40] ; [230  46],[88.86153846 25.13846154] ; [215.13846154  60.86153846],1
11,p6,1,9.1e-05,15.324016,[23 88] ; [115 160],[39.68393782 71.31606218] ; [ 98.31606218 176.68393782],1
0,a5,1,0.000187,13.962405,[67 47] ; [216  63],[82.09160305 31.90839695] ; [200.90839695  78.09160305],1
4,s5,1,0.000697,11.497327,[21 90] ; [ 98 169],[34.94444444 76.05555556] ; [ 84.05555556 182.94444444],1
