,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,213.523752,[586  31] ; [15 34],[556.78228228  60.21771772] ; [44.21771772  4.78228228],1
8,p2,1,0.0,45.188253,[538  77] ; [26 24],[521.59398496  93.40601504] ; [42.40601504  7.59398496],1
5,n6,1,0.0,40.976088,[540  74] ; [26 22],[524.96072508  89.03927492] ; [41.03927492  6.96072508],1
1,r3,1,0.0,39.429314,[596  19] ; [38 11],[587.21385542  27.78614458] ; [46.78614458  2.21385542],1
2,r4,1,0.0,36.6237,[565  53] ; [32 18],[552.31437126  65.68562874] ; [44.68562874  5.31437126],1
0,v4,1,0.0,32.483195,[589  23] ; [38 11],[580.5204236  31.4795764] ; [46.4795764  2.5204236],1
3,n4,1,1e-06,23.826157,[496 122] ; [24 24],[482.52252252 135.47747748] ; [37.47747748 10.52252252],1
4,n5,1,1e-06,23.511035,[492 122] ; [24 24],[478.58610272 135.41389728] ; [37.41389728 10.58610272],1
10,p7,1,5e-06,21.009662,[414 187] ; [18 31],[399.43384615 201.56615385] ; [32.56615385 16.43384615],1
7,s8,1,3.4e-05,17.17704,[284 330] ; [ 8 42],[270.01204819 343.98795181] ; [21.98795181 28.01204819],1
6,s6,1,3.9e-05,16.929191,[415 190] ; [20 30],[401.79389313 203.20610687] ; [33.20610687 16.79389313],1
9,p4,1,0.000402,12.524121,[395 220] ; [19 30],[383.44879518 231.55120482] ; [30.55120482 18.44879518],1
