,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,291.200976,[399  13] ; [30 82],[337.30534351  74.69465649] ; [91.69465649 20.30534351],1
18,p2,1,0.0,94.096441,[366  46] ; [55 60],[329.13092979  82.86907021] ; [91.86907021 23.13092979],1
11,n6,1,0.0,83.697193,[371  38] ; [61 52],[338.48275862  70.51724138] ; [93.51724138 19.48275862],1
7,r3,1,0.0,79.915408,[402  10] ; [82 32],[379.1026616  32.8973384] ; [104.8973384   9.1026616],1
8,r4,1,0.0,74.316123,[381  32] ; [69 46],[351.98863636  61.01136364] ; [98.01136364 16.98863636],1
4,v4,1,0.0,69.045822,[399  10] ; [84 29],[378.44252874  30.55747126] ; [104.55747126   8.44252874],1
22,p8,1,0.0,42.395414,[234 172] ; [26 87],[203.3911368 202.6088632] ; [56.6088632 56.3911368],1
21,p7,1,0.0,34.003447,[266 135] ; [41 73],[239.04271845 161.95728155] ; [67.95728155 46.04271845],1
17,s8,1,0.0,31.788345,[185 225] ; [18 95],[159.13957935 250.86042065] ; [43.86042065 69.13957935],1
15,s6,1,0.0,29.111161,[288 119] ; [49 64],[263.76730769 143.23269231] ; [73.23269231 39.76730769],1
19,p4,1,0.0,26.464752,[258 152] ; [41 73],[233.95038168 176.04961832] ; [65.04961832 48.95038168],1
3,v2,1,0.0,26.289946,[243 154] ; [38 74],[219.16895874 177.83104126] ; [61.83104126 50.16895874],1
6,r2,1,0.0,26.140387,[391  18] ; [91 21],[378.38387716  30.61612284] ; [103.61612284   8.38387716],1
5,r1,1,1e-06,24.287818,[332  79] ; [66 47],[312.17175573  98.82824427] ; [85.82824427 27.17175573],1
10,n5,1,1e-06,23.412064,[318  91] ; [62 51],[297.7394636 111.2605364] ; [82.2605364 30.7394636],1
2,v1,1,2e-06,22.495483,[231 170] ; [37 77],[208.67572816 192.32427184] ; [59.32427184 54.67572816],1
9,n4,1,1.6e-05,18.592957,[324  89] ; [66 47],[306.21673004 106.78326996] ; [83.78326996 29.21673004],1
16,s7,1,3.1e-05,17.351628,[201 198] ; [29 76],[182.08333333 216.91666667] ; [47.91666667 57.08333333],1
13,s2,1,3.1e-05,17.334953,[212 197] ; [34 80],[192.37858509 216.62141491] ; [53.62141491 60.37858509],1
14,s5,1,3.3e-05,17.226925,[144 256] ; [17 94],[126.02739726 273.97260274] ; [34.97260274 76.02739726],1
20,p6,1,3.8e-05,16.970947,[146 262] ; [17 94],[128.13872832 279.86127168] ; [34.86127168 76.13872832],1
12,s1,1,0.000259,13.346293,[  9 398] ; [ 11 103],[ 15.62380038 391.37619962] ; [  4.37619962 109.62380038],1
1,d5,1,0.000758,11.34091,[341  71] ; [78 36],[328.19011407  83.80988593] ; [90.80988593 23.19011407],1
0,d1,1,0.000855,11.117136,[248 165] ; [49 66],[232.3125 180.6875] ; [64.6875 50.3125],1
24,p12,1,0.000873,11.078686,[ 44 368] ; [  1 114],[ 35.18026565 376.81973435] ; [  9.81973435 105.18026565],1
