,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,s2,1,0.0,196.199359,[ 65 286] ; [403 214],[169.69834711 181.30165289] ; [298.30165289 318.69834711],1
13,s3,1,0.0,167.59439,[ 92 257] ; [425 185],[188.14702815 160.85297185] ; [328.85297185 281.14702815],1
17,s8,1,0.0,125.415871,[ 64 290] ; [339 279],[146.77160494 207.22839506] ; [256.22839506 361.77160494],1
16,s7,1,0.0,124.666191,[ 73 258] ; [359 237],[154.25242718 176.74757282] ; [277.74757282 318.25242718],1
15,s5,1,0.0,97.467182,[ 42 303] ; [260 341],[110.13742072 234.86257928] ; [191.86257928 409.13742072],1
9,r4,1,0.0,52.958443,[262  92] ; [567  54],[300.99076923  53.00923077] ; [528.00923077  92.99076923],1
20,p4,1,0.0,43.408553,[147 202] ; [395 222],[195.81573499 153.18426501] ; [346.18426501 270.81573499],1
25,p9,1,0.0,42.601285,[240 106] ; [531  81],[278.46137787  67.53862213] ; [492.53862213 119.46137787],1
26,p10,1,0.0,37.463312,[229 119] ; [508 103],[267.44108446  80.55891554] ; [469.55891554 141.44108446],1
8,r3,1,0.0,35.494042,[299  52] ; [593  25],[323.10835913  27.89164087] ; [568.89164087  49.10835913],1
14,s4,1,0.0,28.782529,[ 29 325] ; [132 481],[ 58.93898656 295.06101344] ; [102.06101344 510.93898656],1
5,v4,1,0.0,28.606504,[302  48] ; [592  26],[323.24380165  26.75619835] ; [570.75619835  47.24380165],1
6,r1,1,0.0,27.838791,[237 115] ; [508 110],[270.35051546  81.64948454] ; [474.64948454 143.35051546],1
11,n6,1,0.0,27.019125,[252  99] ; [527  89],[282.76008273  68.23991727] ; [496.23991727 119.76008273],1
22,p6,1,1e-06,24.400188,[ 83 262] ; [243 367],[117.76963351 227.23036649] ; [208.23036649 401.76963351],1
19,p3,1,6e-06,20.52459,[130 220] ; [323 295],[163.79132231 186.20867769] ; [289.20867769 328.79132231],1
4,v1,1,7e-06,20.323256,[144 204] ; [341 262],[177.47634069 170.52365931] ; [307.52365931 295.47634069],1
27,p12,1,1.8e-05,18.352304,[  9 341] ; [ 62 555],[ 25.69803516 324.30196484] ; [ 45.30196484 571.69803516],1
10,n5,1,1.9e-05,18.278975,[226 125] ; [476 141],[254.54752066  96.45247934] ; [447.45247934 169.54752066],1
18,p2,1,2e-05,18.158763,[251  99] ; [514 103],[276.88728025  73.11271975] ; [488.11271975 128.88728025],1
23,p7,1,2.1e-05,18.077748,[179 168] ; [393 206],[209.81395349 137.18604651] ; [362.18604651 236.81395349],1
21,p5,1,4.9e-05,16.504592,[ 18 331] ; [ 83 532],[ 36.5653527 312.4346473] ; [ 64.4346473 550.5653527],1
2,d5,1,4.9e-05,16.49502,[252 101] ; [510 108],[277.01956746  75.98043254] ; [484.98043254 133.01956746],1
7,r2,1,6.4e-05,15.990765,[303  44] ; [580  33],[319.16770833  27.83229167] ; [563.83229167  49.16770833],1
3,u1,1,0.000244,13.461207,[ 38 316] ; [123 498],[ 58.45538462 295.54461538] ; [102.54461538 518.45538462],1
1,d4,1,0.000251,13.404177,[260  92] ; [516 101],[281.89060888  70.10939112] ; [494.10939112 122.89060888],1
0,a5,1,0.000309,13.016173,[225 129] ; [462 158],[249.6899384 104.3100616] ; [437.3100616 182.6899384],1
24,p8,1,0.000711,11.459317,[145 203] ; [323 286],[170.18181818 177.81818182] ; [297.81818182 311.18181818],1
